Player,player_id
Lionel Messi,1
Lorenzo Insigne,2
Sergio Busquets,3
Sebastián Driussi,4
Federico Bernardeschi,5
Emil Forsberg,6
Héctor Herrera,7
Hany Mukhtar,8
Christian Benteke,9
Riqui Puig,10
Carles Gil,11
Luis Muriel,12
Luciano Acosta,13
Joseph Paintsil,14
Alan Pulido,15
Aleksey Miranchuk,16
Olivier Giroud,17
Dénis Bouanga,18
Teemu Pukki,19
Hugo Cuypers,20
Walker Zimmerman,21
Diego Rossi,22
Ryan Gauld,23
Sam Surridge,24
Cucho Hernández,25
Stuart Armstrong,26
Ezequiel Ponce,27
Raúl Ruidíaz,28
Jonathan Rodríguez,29
Thiago Martins,30
Gabriel Pec,31
Liel Abada,32
Evander,33
Sebastián Ferreira,34
Karol Swiderski,35
Petar Musa,36
Albert Rusnák,37
Pep Biel,38
Nicholas Gioacchini,39
Jesús Ferreira,40
Marcel Hartel,41
Mateusz Klich,42
Cristian Arango,43
Mikael Uhre,44
Cristian Espinoza,45
Kévin Cabral,46
Giacomo Vrioni,47
Lewis O'Brien,48
Facundo Torres,49
Victor Wanyama,50
Diogo Gonçalves,51
Dániel Gazdag,52
Paul Arriola,53
Jordan Morris,54
Carlos Gruezo,55
Djordje Mihailovic,56
Alex Ring,57
Roman Bürki,58
Robin Lod,59
Gastón Giménez,60
Alan Velasco,61
Miles Robinson,62
Kellyn Acosta,63
Cristian Roldan,64
Darlington Nagbe,65
Nemanja Radoja,66
Matt Miazga,67
Hannes Wolf,68
Jordi Alba,69
Luis Suárez,70
Dante Vanzeir,71
João Paulo,72
Felipe Mora,73
Rafael Navarro,74
Obinna Nwobodo,75
Kelvin Yeboah,76
Gastón Brugman,77
Lewis Morgan,78
João Klauss,79
Martín Rodríguez,80
Marlon,81
Eduard Löwen,82
Andreas Maxsø,83
Rafael Czichos,84
Santiago Rodríguez,85
Justen Glad,86
Richie Laryea,87
Diego Fagundez,88
Josef Martínez,89
Aaron Long,90
Dániel Sallói,91
Ilie Sánchez,92
Marco Reus,93
Chidozie Awaziem,94
Joakim Nilsson,95
Felipe Carballo,96
Pedro de la Vega,97
Andrés Cubas,98
Duncan McGuire,99
Jakob Glesnes,100
Stian Gregersen,101
Bruno Wilson,102
Randall Leal,103
Erik Thommy,104
Cedric Teuchert,105
Julian Gressel,106
Pedro Gallese,107
Joaquín Fernández,108
Talles Magno,109
James Sands,110
Paxton Pomykal,111
Tim Parker,112
Henry Kessler,113
Kai Wagner,114
Keaton Parks,115
Sean Davis,116
Hernán López,117
Tomás Chancalay,118
Jeremy Ebobisse,119
Nicolás Freire,120
Gyasi Zardes,121
Johnny Russell,122
Osman Bukari,123
Matt Crooks,124
Saba Lobjanidze,125
Alessandro Schöpf,126
Andre Blake,127
Martín Ojeda,128
Cristian Dájome,129
Robin Jansson,130
Mathías Laborda,131
Jackson Yueill,132
Sergio Santos,133
Sam Adekugbe,134
Amahl Pellegrino,135
Pablo Ruiz,136
Álvaro Barreal,137
Dario Zuparic,138
Rémi Walter,139
Zack Steffen,140
DeAndre Yedlin,141
Brian Gutiérrez,142
Alhassan Yusuf,143
Jack Elliott,144
Maya Yoshida,145
Matías Cóccaro,146
Steven Moreira,147
Shaq Moore,148
Mark Delgado,149
Luis Abram,150
Sam Vines,151
Teenage Hadebe,152
Ashley Westwood,153
Cole Bassett,154
Aaron Herrera,155
Reggie Cannon,156
Sebastian Lletget,157
Jonathan Osorio,158
Yeimar Gómez Andrade,159
Bartosz Slisz,160
Erik Sviatchenko,161
Anderson Julio,162
Miguel Tapias,163
Sergii Kryvtsov,164
Prince Owusu,165
Tomas Ostrak,166
Mario González,167
Nicolás Lodeiro,168
Jack Maher,169
DeJuan Jones,170
Yohei Takaoka,171
Artur,172
Santiago Sosa,173
Xavier Arreaga,174
Tyler Boyd,175
Julio Cascante,176
Kamal Miller,177
Tai Baribo,178
Matti Peltola,179
Sigurd Rosted,180
Raoul Petretta,181
Brian White,182
Lassi Lappalainen,183
Mark-Anthony Kaye,184
Khiry Shelton,185
Tristan Blackmon,186
Birk Risa,187
Brooks Lennon,188
Andrés Herrera,189
Gabriel Pirani,190
Michael Boxall,191
Leonardo Campana,192
Dave Romney,193
Yuya Kubo,194
Aníbal Godoy,195
John Tolkin,196
Andrés Reyes,197
Latif Blessing,198
César Araújo,199
Chris Mueller,200
Corey Baird,201
Derrick Etienne Jr.,202
Rodrigues,203
Miguel Araujo,204
Sean Johnson,205
Eugene Ansah,206
Lalas Abubakar,207
Joaquín Pereyra,208
Boris Enow,209
Arnaud Souquet,210
Rubio Rubín,211
Eduard Atuesta,212
Jovan Mijatović,213
Ranko Veselinović,214
Steve Clark,215
Dejan Joveljic,216
Andrew Farrell,217
Sebastien Ibeagha,218
David Brekalo,219
Jeong Sang-Bin,220
Luca Langoni,221
Cristian Olivera,222
Cristhian Paredes,223
Dominik Marczuk,224
Eryk Williamson,225
Facundo Farías,226
Omar Campos,227
Mateusz Bogusz,228
Pedro Vite,229
Fafa Picault,230
Dylan Borrero,231
Yaw Yeboah,232
Franco Ibarra,233
Coco Carrasquilla,234
Braian Ojeda,235
Joe Willis,236
Mason Toye,237
Martín Cáceres,238
Bongokuhle Hlongwane,239
Leo Väisänen,240
Russell Canouse,241
Ryan Hollingshead,242
Andrés Perea,243
Timothy Tillman,244
Tim Melia,245
Omir Fernández,246
Julián Fernández,247
Carlos Terán,248
Maxime Crépeau,249
Miki Yamane,250
Brad Guzan,251
Nathan Byrne,252
Santiago Moreno,253
Amine Bassi,254
Xande Silva,255
Brandon Servania,256
Danley Jean Jacques,257
Tim Leibold,258
Andrew Gutman,259
Stefan Frei,260
Dru Yearwood,261
Carlos Akapo,262
Jamal Thiaré,263
Matt Polster,264
Tim Ream,265
Kristijan Kahlina,266
Marino Hinestroza,267
Daniel Lovitz,268
Jere Uronen,269
Nouhou,270
Cory Burke,271
Tristan Muyumba,272
Matt Hedges,273
Jesús Murillo,274
Sergi Palencia,275
Hassani Dotson,276
Federico Navarro,277
Elias Manoel,278
Kyle Duncan,279
Yevhen Cheberko,280
Rudy Camacho,281
Jáder Obrian,282
Léo Chú,283
Nathan,284
Asier Illarramendi,285
Carlos Coronel,286
Agustín Ojeda,287
Marco Farfan,288
Jamie Paterson,289
Iván Angulo,290
Brayan Vera,291
Sebastian Kowalczyk,292
Griffin Dorsey,293
Sean Nealis,294
Alex Muyl,295
Chase Gasper,296
Lawrence Ennali,297
Franco Escobar,298
Connor Ronan,299
William Agada,300
Henry Wingo,301
Wilder Cartagena,302
Matías Rojas,303
Jonathan Mensah,304
Dany Rosero,305
Diego Chara,306
Tom Pearce,307
David Schnegg,308
Show,309
Diego Gómez,310
Bjørn Inge Utvik,311
Ibrahim Aliyu,312
Mikkel Desler,313
David Martínez,314
Maxi Moralez,315
Pavel Bucha,316
Daniel Steres,317
Christian Ramírez,318
Jhojan Valencia,319
Chris Durkin,320
Patrick Yazbek,321
Antony,322
Pedro Santos,323
Kevin Kelsy,324
Kwadwo Opoku,325
Bill Tuiloma,326
Alexandru Matan,327
Dylan Chambost,328
Dayne St. Clair,329
Brad Stuver,330
Robert Voloder,331
Noah Eile,332
Allan Arigoni,333
Bobby Wood,334
Brad Smith,335
Georgios Koutsias,336
Aljaž Ivačič,337
Alexandros Katranis,338
Alex Roldan,339
Tayvon Gray,340
Monsef Bakrar,341
Deybi Flores,342
Tobias Salquist,343
David Ayala,344
Andreu Fontàs,345
Ronald Hernández,346
Tyler Miller,347
Roman Celentano,348
Diego Luna,349
Derrick Williams,350
Wil Trapp,351
George Campbell,352
Ruan,353
Damir Kreilach,354
Kerwin Vargas,355
Edwin Mosquera,356
Jonathan Lewis,357
Tommy McNamara,358
Samuel Piette,359
Malte Amundsen,360
Idan Toklomati,361
Daniel,362
Olivier Mbaizo,363
Sean Zawadzki,364
Fabian Herbers,365
Nacho Gil,366
Shane O'Neill,367
Edwin Cerrillo,368
Tomás Avilés,369
Sunusi Ibrahim,370
